Channel Id,Channel Url,Channel Title
UC-2HBE6eBhR98luYnuuuJ1A,http://www.youtube.com/channel/UC-2HBE6eBhR98luYnuuuJ1A,Christopher Scott Vaughen
UC-2YHgc363EdcusLIBbgxzg,http://www.youtube.com/channel/UC-2YHgc363EdcusLIBbgxzg,Joe Scott
UC-3SbfTPJsL8fJAPKiVqBLg,http://www.youtube.com/channel/UC-3SbfTPJsL8fJAPKiVqBLg,Deep Look
UC-6OW5aJYBFM33zXQlBKPNA,http://www.youtube.com/channel/UC-6OW5aJYBFM33zXQlBKPNA,Engadget
UC-9b7aDP6ZN0coj9-xFnrtw,http://www.youtube.com/channel/UC-9b7aDP6ZN0coj9-xFnrtw,Astrum
UC-Fn23Q_91AEQHr2uNMd2VQ,http://www.youtube.com/channel/UC-Fn23Q_91AEQHr2uNMd2VQ,CheersKevin
UC-JWw2juO3Ikj5C9VsNoGIw,http://www.youtube.com/channel/UC-JWw2juO3Ikj5C9VsNoGIw,M. Laser History
UC-UC-nE8B33UGnC-NRaSfug,http://www.youtube.com/channel/UC-UC-nE8B33UGnC-NRaSfug,Sebastien Bubeck
UC-glo52BMvZH9PPUamjGIcw,http://www.youtube.com/channel/UC-glo52BMvZH9PPUamjGIcw,Kids Invent Stuff
UC06E4Y_-ybJgBUMtXx8uNNw,http://www.youtube.com/channel/UC06E4Y_-ybJgBUMtXx8uNNw,TheBackyardScientist
UC06HVrkOL33D5lLnCPjr6NQ,http://www.youtube.com/channel/UC06HVrkOL33D5lLnCPjr6NQ,Breaking Taps
UC06whByrcXS9v4m0oTfNAYg,http://www.youtube.com/channel/UC06whByrcXS9v4m0oTfNAYg,UoNScience
UC0QdW-H7_l0zh_CoNhlwoBw,http://www.youtube.com/channel/UC0QdW-H7_l0zh_CoNhlwoBw,ParallaxNick
UC0e3QhIYukixgh5VVpKHH9Q,http://www.youtube.com/channel/UC0e3QhIYukixgh5VVpKHH9Q,Code Bullet
UC0r29hWF31MAwgfilNTUrbA,http://www.youtube.com/channel/UC0r29hWF31MAwgfilNTUrbA,Alt Schwift X
UC0rqucBdTuFTjJiefW5t-IQ,http://www.youtube.com/channel/UC0rqucBdTuFTjJiefW5t-IQ,TensorFlow
UC0woBco6Dgcxt0h8SwyyOmw,http://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw,Megaprojects
UC176GAQozKKjhz62H8u9vQQ,http://www.youtube.com/channel/UC176GAQozKKjhz62H8u9vQQ,Real Science
UC1D3yD4wlPMico0dss264XA,http://www.youtube.com/channel/UC1D3yD4wlPMico0dss264XA,NileBlue
UC1DTYW241WD64ah5BFWn4JA,http://www.youtube.com/channel/UC1DTYW241WD64ah5BFWn4JA,Sam O'Nella Academy
UC1LpsuAUaKoMzzJSEt5WImw,http://www.youtube.com/channel/UC1LpsuAUaKoMzzJSEt5WImw,Asianometry
UC1O0jDlG51N3jGf6_9t-9mw,http://www.youtube.com/channel/UC1O0jDlG51N3jGf6_9t-9mw,Marco Reps
UC1VLQPn9cYSqx8plbk9RxxQ,http://www.youtube.com/channel/UC1VLQPn9cYSqx8plbk9RxxQ,The Action Lab
UC1XvxnHFtWruS9egyFasP1Q,http://www.youtube.com/channel/UC1XvxnHFtWruS9egyFasP1Q,What about it!?
UC1ZBQ-F-yktYD4m5AzM6pww,http://www.youtube.com/channel/UC1ZBQ-F-yktYD4m5AzM6pww,Mustard
UC1rFmaGLYr0Ve_Y_soxZNWQ,http://www.youtube.com/channel/UC1rFmaGLYr0Ve_Y_soxZNWQ,Quinn's Ideas
UC1rIOwTqDuWkFj87HZYRFOg,http://www.youtube.com/channel/UC1rIOwTqDuWkFj87HZYRFOg,NYT Cooking
UC1riE7iaU-jPm_UXfQr03sw,http://www.youtube.com/channel/UC1riE7iaU-jPm_UXfQr03sw,Workshop From Scratch
UC1y5UrhN90ULLSGnZjzR7Fw,http://www.youtube.com/channel/UC1y5UrhN90ULLSGnZjzR7Fw,deramp5113
UC22BdTgxefuvUivrjesETjg,http://www.youtube.com/channel/UC22BdTgxefuvUivrjesETjg,History Matters
UC25IWygZ5x74ouIk6NBicTQ,http://www.youtube.com/channel/UC25IWygZ5x74ouIk6NBicTQ,Dr Farzad Sanati
UC2DwBWOByn1rw2JXEUVi4xQ,http://www.youtube.com/channel/UC2DwBWOByn1rw2JXEUVi4xQ,Donia Massoud دنيا مسعود
UC2PA-AKmVpU6NKCGtZq_rKQ,http://www.youtube.com/channel/UC2PA-AKmVpU6NKCGtZq_rKQ,Philosophy Tube
UC2Xd-TjJByJyK2w1zNwY0zQ,http://www.youtube.com/channel/UC2Xd-TjJByJyK2w1zNwY0zQ,Beyond Fireship
UC2_PN-m_f0WBMsGZ2U61pXg,http://www.youtube.com/channel/UC2_PN-m_f0WBMsGZ2U61pXg,أحمد الديب
UC2_vpnza621Sa0cf_xhqJ8Q,http://www.youtube.com/channel/UC2_vpnza621Sa0cf_xhqJ8Q,Raw Space
UC2avWDLN1EI3r1RZ_dlSxCw,http://www.youtube.com/channel/UC2avWDLN1EI3r1RZ_dlSxCw,Integza
UC2bkHVIDjXS7sgrgjFtzOXQ,http://www.youtube.com/channel/UC2bkHVIDjXS7sgrgjFtzOXQ,engineerguy
UC2rzsm1Qi6N1X-wuOg_p0Ng,http://www.youtube.com/channel/UC2rzsm1Qi6N1X-wuOg_p0Ng,Project Farm
UC2wdo5vU7bPBNzyC2nnwmNQ,http://www.youtube.com/channel/UC2wdo5vU7bPBNzyC2nnwmNQ,Cutting Edge Engineering Australia
UC3RcjbuyF5M1U4R62zjE3hg,http://www.youtube.com/channel/UC3RcjbuyF5M1U4R62zjE3hg,Dan Carlin
UC3XTzVzaHQEd30rQbuvCtTQ,http://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight
UC3dmgnqBSqlENPwPcxZ33Cw,http://www.youtube.com/channel/UC3dmgnqBSqlENPwPcxZ33Cw,Paul's Garage (Paul's Garage)
UC3l-MBGanXHD3UKJtkaQSAw,http://www.youtube.com/channel/UC3l-MBGanXHD3UKJtkaQSAw,Part-Time Explorer
UC3qbBhUoxszvWWfQnN4nXog,http://www.youtube.com/channel/UC3qbBhUoxszvWWfQnN4nXog,omar eraky
UC3z_ODXWUtR7KGxa4qz9hMw,http://www.youtube.com/channel/UC3z_ODXWUtR7KGxa4qz9hMw,Cloud9 IDE
UC41PjSV4TnTpAW4_CcHCaMQ,http://www.youtube.com/channel/UC41PjSV4TnTpAW4_CcHCaMQ,Lev Kruglyak
UC4QZ_LsYcvcq7qOsOhpAX4A,http://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion
UC4rgSojNeccUVCYhzk0TZuw,http://www.youtube.com/channel/UC4rgSojNeccUVCYhzk0TZuw,John J. Mearsheimer 2023
UC4wx2XlerFt5fYkyuh8jx7g,http://www.youtube.com/channel/UC4wx2XlerFt5fYkyuh8jx7g,Jussi-Petteri Kemppainen
UC510QYlOlKNyhy_zdQxnGYw,http://www.youtube.com/channel/UC510QYlOlKNyhy_zdQxnGYw,Simple History
UC55ODQSvARtgSyc8ThfiepQ,http://www.youtube.com/channel/UC55ODQSvARtgSyc8ThfiepQ,Sam Witteveen
UC5ASM3dn-O-HS-aukLvTW_Q,http://www.youtube.com/channel/UC5ASM3dn-O-HS-aukLvTW_Q,Martian Wolf
UC5I2hjZYiW9gZPVkvzM8_Cw,http://www.youtube.com/channel/UC5I2hjZYiW9gZPVkvzM8_Cw,Techmoan
UC5NO8MgTQKHAWXp6z8Xl7yQ,http://www.youtube.com/channel/UC5NO8MgTQKHAWXp6z8Xl7yQ,This Old Tony
UC5WjFrtBdufl6CZojX3D8dQ,http://www.youtube.com/channel/UC5WjFrtBdufl6CZojX3D8dQ,Tesla
UC5_Y-BKzq1uW_2rexWkUzlA,http://www.youtube.com/channel/UC5_Y-BKzq1uW_2rexWkUzlA,New Mind
UC5nlKFUNoskvV5XdW6PbgYw,http://www.youtube.com/channel/UC5nlKFUNoskvV5XdW6PbgYw,A Well-Rested Dog
UC5ojdZG905jCpbdz12tl-jw,http://www.youtube.com/channel/UC5ojdZG905jCpbdz12tl-jw,Our Own Devices
UC6107grRI4m0o2-emgoDnAA,http://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay
UC64UiPJwM_e9AqAd7RiD7JA,http://www.youtube.com/channel/UC64UiPJwM_e9AqAd7RiD7JA,Today I Found Out
UC66Ggxy8MHX9DCDohdRYDTA,http://www.youtube.com/channel/UC66Ggxy8MHX9DCDohdRYDTA,Edan Meyer
UC67gfx2Fg7K2NSHqoENVgwA,http://www.youtube.com/channel/UC67gfx2Fg7K2NSHqoENVgwA,Tom Stanton
UC68KSmHePPePCjW4v57VPQg,http://www.youtube.com/channel/UC68KSmHePPePCjW4v57VPQg,Python Programmer
UC6DhSUKasPbBLCSdPcGBxww,http://www.youtube.com/channel/UC6DhSUKasPbBLCSdPcGBxww,Chronova Engineering
UC6I0KzAD7uFTL1qzxyunkvA,http://www.youtube.com/channel/UC6I0KzAD7uFTL1qzxyunkvA,Blacktail Studio
UC6JRNdTXrSQ-lK-CGFUWrzw,http://www.youtube.com/channel/UC6JRNdTXrSQ-lK-CGFUWrzw,Princeton Online
UC6WdZQhg1wkZJWCmnDiIeOQ,http://www.youtube.com/channel/UC6WdZQhg1wkZJWCmnDiIeOQ,The Tribune
UC6_clxPYNS_BstewLKjyA9g,http://www.youtube.com/channel/UC6_clxPYNS_BstewLKjyA9g,Scientia Plus
UC6fUahKiPDn1-3476TU-ovA,http://www.youtube.com/channel/UC6fUahKiPDn1-3476TU-ovA,Google Open Online Education
UC6jKUaNXSnuW52CxexLcOJg,http://www.youtube.com/channel/UC6jKUaNXSnuW52CxexLcOJg,Through The Web Podcast
UC6m2Ilfps2ETdkY5PJi6nzQ,http://www.youtube.com/channel/UC6m2Ilfps2ETdkY5PJi6nzQ,James' Planets
UC6n8I1UDTKP1IWjQMg6_TwA,http://www.youtube.com/channel/UC6n8I1UDTKP1IWjQMg6_TwA,The B1M
UC6uKrU_WqJ1R2HMTY3LIx5Q,http://www.youtube.com/channel/UC6uKrU_WqJ1R2HMTY3LIx5Q,Everyday Astronaut
UC6uxTkbcGv5iro2FhKeLkmw,http://www.youtube.com/channel/UC6uxTkbcGv5iro2FhKeLkmw,Blitter Arts
UC6x7GwJxuoABSosgVXDYtTw,http://www.youtube.com/channel/UC6x7GwJxuoABSosgVXDYtTw,I Like To Make Stuff
UC6yIV1sKYlkgGKTe0oY5MlQ,http://www.youtube.com/channel/UC6yIV1sKYlkgGKTe0oY5MlQ,تراث المدح الشريف
UC726J5A0LLFRxQ0SZqr2mYQ,http://www.youtube.com/channel/UC726J5A0LLFRxQ0SZqr2mYQ,Curious Droid
UC78Ib99EBhMN3NemVjYm3Ig,http://www.youtube.com/channel/UC78Ib99EBhMN3NemVjYm3Ig,Grant Sanderson
UC7E8-0Ou69hwScPW1_fQApA,http://www.youtube.com/channel/UC7E8-0Ou69hwScPW1_fQApA,Sam Zeloof
UC7_gcs09iThXybpVgjHZ_7g,http://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time
UC7uJBXcRdGlDlKIyr6ZbjBw,http://www.youtube.com/channel/UC7uJBXcRdGlDlKIyr6ZbjBw,Robert Paz
UC7vVhkEfw4nOGp8TyDk7RcQ,http://www.youtube.com/channel/UC7vVhkEfw4nOGp8TyDk7RcQ,Boston Dynamics
UC8DW2q6yFKPD_zjL8jzUYGA,http://www.youtube.com/channel/UC8DW2q6yFKPD_zjL8jzUYGA,With Hafez Al Mirazi - من واشنطن مع حافظ المرازي
UC8ENHE5xdFSwx71u3fDH5Xw,http://www.youtube.com/channel/UC8ENHE5xdFSwx71u3fDH5Xw,ThePrimeagen
